Region,District,FacilityName,Type,Town,Ownership,Latitude,Longitude
Ashanti,Ejisu-Juaben Municipal,Amponsah Konadu Memorial Maternity Home,Maternity Home,Bonwire,Private,6.792619999999999,-1.47187
Ashanti,Adansi South,Ampunyasi Health Centre,Health Centre,Ampunyasi,Government,6.0551900000000005,-1.7367700000000001
Ashanti,Ahafo-Ano North,Anane Aya Maternity Home,Maternity Home,Akwasiase,Private,6.995419999999999,-2.1999299999999997
Ashanti,Asante-Akim North Municipal,Ananekrom Health Centre,Health Centre,Ananekrom,Government,6.91527,-1.0153299999999998
Ashanti,Bosomtwe,Anglican (Mobile) Eye Clinic,Clinic,Jachie,CHAG,6.56615,-1.5206600000000001
Ashanti,Bosomtwe,Atonso/Agogo Fejiase clinic,Clinic,Feyiase,Private,6.61268,-1.55999
Ashanti,Bosomtwe,Brodekwanu Methodis Clinic,Clinic,Brodekwanu,CHAG,6.53546,-1.35365
Ashanti,Bosomtwe,CAMFAP Maternity Clinic,Clinic,New Kokobiriko (Abijan-Nkwant,Private,6.579330000000001,-1.5440399999999999
Ashanti,Bosomtwe,Jachie Health Centre,Health Centre,Jachie,Government,6.565980000000001,-1.5209700000000002
Ashanti,Bosomtwe,Kuntenase Government Hospital,District Hospital,Kuntenase,Government,6.53752,-1.47454
Ashanti,Bosomtwe,Lake Bosomtwi Methodist Clinic,Clinic,Amakom,CHAG,6.48398,-1.37362
Ashanti,Bosomtwe,Nyameani Methodist Clinic,Clinic,Nyameani,CHAG,6.56458,-1.43022
Ashanti,Bosomtwe,Piase CHPS,CHPS,Piase,Government,6.59099,-1.45151
Ashanti,Bosomtwe,SDA Clinic Konkoma,Clinic,Konkoma,CHAG,6.51291,-1.34849
Ashanti,Bosomtwe,Sophia Maternity Home,Maternity Home,Esereso,Private,6.631589999999999,-1.5614700000000001
Ashanti,Bosomtwe,St. Marys Anglican Clinic,Clinic,Apinkra,CHAG,6.54056,-1.54346
Ashanti,Bosomtwe,St. Micheal Hospital,Hospital,Pramso,CHAG,6.55872,-1.51247
Ashanti,Bosomtwe,Tetrefu Health Centre,Health Centre,Tetrefu,Government,6.62487,-1.5346799999999998
Ashanti,Bosomtwe,God's Grace Maternity Home,Maternity Home,Aputuagya,Private,,
Ashanti,Obuasi Municipal,Anyinam Clinic,Clinic,Obuasi-Anyinam,Government,6.19897,-1.68205
Ashanti,Ahafo-Ano North,Anyinasuso Health Centre,Health Centre,Anyinasuso,Government,6.95913,-2.1003700000000003
Ashanti,Ahafo-Ano North,Anyinasuso Maternity Home,Maternity Home,Anyinasuso,Private,6.958710000000001,-2.10015
Ashanti,Offinso North,Anyinasusu SDA Centre,Clinic,Anyinasusu,CHAG,7.0148399999999995,-1.7087400000000001
Ashanti,Sekyere Afram Plains,Anyinofi Health Centre,Health Centre,Anyinofi,Government,7.42528,-0.77045
Ashanti,Mampong Municipal,Apaa Maternity Home,Maternity Home,Apaa,Private,6.95511,-1.43465
Ashanti,Ejisu-Juaben Municipal,Apromase Health Centre,Health Centre,Apromase,Government,6.67085,-1.49543
Ashanti,Mampong Municipal,Asaam Health Clinic,Health Centre,Asaam,Government,7.117319999999999,-1.4659799999999998
Ashanti,Obuasi Municipal,Asempa   Maternity and Clinic,Clinic,Gausu,Private,6.1992400000000005,-1.6823299999999999
Ashanti,Atwima-Kwanwoma,Ahenema kokoben Health Centre,Health Centre,Ahenema kokoben,Government,6.62597,-1.64978
Ashanti,Atwima-Kwanwoma,Bebu Methodist Clinic,Clinic,Bebu,CHAG,6.61154,-1.68505
Ashanti,Atwima-Kwanwoma,Eye Adom Maternity Home,Maternity Home,Brofoyeduru,Private,6.61458,-1.65857
Ashanti,Atwima-Kwanwoma,Foase Health Centre,Health Centre,Foase,Government,6.637510000000001,-1.7512400000000001
Ashanti,Atwima-Kwanwoma,Kwanwoma Health Centre,Health Centre,Kwanwoma,Government,6.62865,-1.63524
Ashanti,Atwima-Kwanwoma,Trabuom Health Centre,Health Centre,Trabuom,Government,6.61142,-1.76252
Ashanti,Atwima-Kwanwoma,Trede Health Centre,Health Centre,Trede,Government,6.57803,-1.6685900000000002
Ashanti,Atwima-Kwanwoma,Nweneso III Health Centre,Health Centre,Nweneso III,Private,,
Ashanti,Bosome Freho,Asiwa Health Centre,Health Centre,Asiwa,Government,6.42344,-1.3343399999999999
Ashanti,Adansi North,Asokwa Health Centre,Health Centre,Asokwa,Government,6.28068,-1.50786
Ashanti,Amansie West,Essuowin Health Centre,Health Centre,Assuowin,Government,6.53656,-1.8650200000000001
Ashanti,Sekyere Central,Asubuasu Health Centre,Health Centre,Asubuasu,Government,7.31624,-1.23529
Ashanti,Atwima-Nwabiagya,Asuofua Health Centre,Health Centre,Asuofia,Government,7.0,-2.0
Ashanti,Adansi South,Ataasi Health Centre,Health Centre,Ataasi Nkwanta,Government,5.96664,-1.3645399999999999
Ashanti,Sekyere Central,Atonsu Health Centre,Health Centre,Atonsu,Government,7.02372,-1.30912
Ashanti,Adansi South,Atwereboana Clinic,Clinic,Atwereboana,Government,5.96235,-1.3421299999999998
Ashanti,Atwima-Nwabiagya,Atwima Clinic,Clinic,Atwima,Government,7.0,-2.0
Ashanti,Obuasi Municipal,Avril Clinic,Clinic,Akaporiso,Private,6.19802,-1.62953
Ashanti,Ejura Sekyeredumasi,Babaso MCH,Clinic,Babaso,Government,7.34065,-1.32417
Ashanti,Asante-Akim South,Banka Health Centre,Health Centre,Banka,Government,6.29824,-1.21615
Ashanti,Sekyere Afram Plains,Banko Health Centre,Health Centre,Banko,Government,6.75822,-1.28473
Ashanti,Asante-Akim South,Banso SDA Clinic,Clinic,Banso,Government,6.47584,-1.19674
Ashanti,Atwima-Nwabiagya,Barekese Health Centre,Health Centre,Barekese,Government,7.0,-2.0
Ashanti,Atwima-Mponua,Barniekrom maternity home,Maternity Home,Barniekrom,Government,6.54199,-2.17473
Ashanti,Asante-Akim North Municipal,Bebome Health Centre,Health Centre,Bebome,Government,6.86725,-1.09566
Ashanti,Atwima-Kwanwoma,Bebu Methodist Clinic,Clinic,Bebu,CHAG,6.61154,-1.68505
Ashanti,Bekwai Municipal,Bekwai Government Hospital,District Hospital,Bekwai,Government,6.45605,-1.57857
Ashanti,Mampong Municipal,Benim Health Centre,Health Centre,Benim,Government,7.09054,-1.46459
Ashanti,Sekyere Central,Beposo Health Centre,Centre,Beposo,Government,6.98526,-1.35503
Ashanti,Atwima-Mponua,Bethel Maternity Home,Maternity Home,Enyinamoso,Private,6.64692,-1.90327
Ashanti,Ahafo-Ano North,Betiako Health Centre,Health Centre,Betiako,Government,6.86638,-2.20685
Ashanti,Atwima-Mponua,Beyerebon No.5 Health Centre,Health Centre,Bayerebon,Government,6.39211,-2.18134
Ashanti,Mampong Municipal,Birem Health Centre,Health Centre,Birem,Government,7.22732,-0.99197
Ashanti,Afigya-Kwabre,Boamang Health Centre,Health Centre,Boamang,Government,6.94073,-1.61705
Ashanti,Sekyere South,Boanim Health Centre,Health Centre,Boanim,Government,7.03482,-1.4874100000000001
Ashanti,Adansi North,Bodwesango St Louis Health Centre,Health Centre,Bodwesango,CHAG,6.2224900000000005,-1.31031
Ashanti,Ejisu-Juaben Municipal,Bomfa Health Centre,Health Centre,Bomfa,Government,6.59635,-1.2993299999999999
Ashanti,Asante-Akim South,Bompata Health Centre,Health Centre,Bompata,Government,6.667269999999999,-1.0839299999999998
Ashanti,Offinso Municipal,Bonsua Health Centre,Health Centre,Bonsua,Government,6.93485,-1.67615
Ashanti,Ejisu-Juaben Municipal,Bonwire Clinic,Clinic,Bonwire,Private,6.4716,-1.2846
Ashanti,Obuasi Municipal,Brahabebome Clinic,Clinic,Brahabebome New Site,Private,6.19444,-1.63014
Ashanti,Obuasi Municipal,Bryant  Mission Hospital,Hospital,Boete,Private,6.1131,-1.3844
Ashanti,Obuasi Municipal,Cecilia Maternity  Home,Maternity Home,Kwabrafoso,Private,6.19886,-1.6557400000000002
Ashanti,Obuasi Municipal,Central Market Clinic,Clinic,Estate Extension,Private,6.20591,-1.67031
Ashanti,Kwabre,Christ Our Hope Maternity Home,Maternity Home,Ntonso,Private,6.754860000000001,-1.52744
Ashanti,Amansie West,Christ Our Saviour Clinic,Clinic,Manso Moseaso,CHAG,6.511419999999999,-1.85217
Ashanti,Ejisu-Juaben Municipal,Church of Christ Mission Clinic,Clinic,Adadientam,CHAG,6.713939999999999,-1.4282700000000002
Ashanti,Ejisu-Juaben Municipal,Church of God Clinic,Clinic,Essienimpong,CHAG,6.6605300000000005,-1.44979
Ashanti,Atwima-Mponua,Community Health Centre,Clinic,Mpasatia,CHAG,6.668480000000001,-1.8401599999999998
Ashanti,Sekyere Central,Cross Medical Centre,Clinic,Nsuta,Private,7.00829,-1.37595
Ashanti,Asante-Akim North Municipal,Daasebre Maternity Home,Maternity Home,Ahenebronuum,Private,6.62776,-1.2131399999999999
Ashanti,Sekyere Afram Plains,Dadiase Health Centre,Health Centre,Dadiase,Government,6.880780000000001,-1.36776
Ashanti,Ejisu-Juaben Municipal,Dakopon Hospital,Hospital,Kwamo,Private,6.720860000000001,-1.49322
Ashanti,Amansie West,Datano Health Post,Clinic,Datano,CHAG,6.29398,-1.97098
Ashanti,Bosome Freho,Detieso Community Clinic,Clinic,Detieso,Government,6.47674,-1.4416799999999999
Ashanti,Sekyere South,Domeabra Health Centre,Health Centre,Domeabra,Government,6.9386399999999995,-1.5575700000000001
Ashanti,Adansi North,Dompoase Benito Menni Health Centre,Health Centre,Dompoase,CHAG,6.32282,-1.5446799999999998
Ashanti,Amansie West,Dora Maternity Clinic,Maternity Home,Pakyi  No 2,Private,6.4804,-1.4951
Ashanti,Offinso North,Dorcas Memorial Clinic,Clinic,Akomadan,CHAG,7.39694,-1.95297
Ashanti,Bosome Freho,Duasi Community Clinic,Clinic,Duasi,Government,6.46863,-1.3952200000000001
Ashanti,Asante-Akim North Municipal,Dwease Health Centre,Health Centre,Dwease,Government,6.53747,-1.24407
Ashanti,Asante-Akim South,Dwendwenase Health Centre,Health Centre,Dwendwenase,Government,6.41223,-1.19934
Ashanti,Atwima-Mponua,Ebenezer Methodist Clinic,Clinic,Mpasatia,CHAG,6.65865,-1.84306
Ashanti,Adansi South,Edwafo Health Centre,Health Centre,Edwafo,Government,6.19675,-1.5736700000000001
Ashanti,Sekyere East,Effiduase District Hospital,District Hospital,Effiduase,Government,6.847389999999999,-1.39373
Ashanti,Sekyere East,Effiduase Trust Maternity Home,Maternity Home,Effiduase,Private,6.848210000000001,-1.39412
Ashanti,Ejisu-Juaben Municipal,Ejisu Health Centre,Health Centre,Ejisu,Government,6.721030000000001,-1.47028
Ashanti,Ejura Sekyeredumasi,Ejura District Hospital,District Hospital,Ejura,Government,7.389060000000001,-1.3519700000000001
Ashanti,Ejura Sekyeredumasi,Ejura MCH,Clinic,Ejura,Government,7.36556,-1.34358
Ashanti,Afigya-Kwabre,Ejuratia Health Centre,Health Centre,Ejuratia,Government,6.82287,-1.52227
Ashanti,Obuasi Municipal,Emmanuel  Maternity  Home,Maternity Home,Boete,Private,6.19235,-1.64475
Ashanti,Ejura Sekyeredumasi,Enso Nyameye Maternity Home,Maternity Home,Kontokori Line,Private,7.378939999999999,-1.35796
Ashanti,Ahafo-Ano South,Essienkyem Health Centre,Health Centre,Essienkyem,Government,6.97584,-1.8478400000000001
Ashanti,Atwima-Nwabiagya,Everest Hospital,Hospital,Achiase,Private,7.0,-2.0
Ashanti,Atwima-Kwanwoma,Eye Adom Maternity Home,Maternity Home,Brofoyeduru,Private,6.61458,-1.65857
Ashanti,Afigya-Kwabre,Family Care Hospital,Hospital,Mowre,Private,6.816139999999999,-1.47675
Ashanti,Kwabre,Fawade Nkanta Clinic,Clinic,Fawade,Private,6.81047,-1.6386599999999998
Ashanti,Atwima-Kwanwoma,Foase Health Centre,Health Centre,Foase,Government,6.637510000000001,-1.7512400000000001
Ashanti,Adansi North,Fomena Health Centre,Health Centre,Fomena,Government,6.28022,-1.5100200000000001
Ashanti,Adansi North,Fumso Health Centre,Health Centre,Fumso,Government,6.11048,-1.44854
Ashanti,Adansi North,Fumso-Ketewa Health Centre,Health Centre,Fumso Ketewa,Government,6.29675,-1.63103
Ashanti,Afigya-Kwabre,Gladys Maternity Home,Maternity Home,Kodie,Private,6.78875,-1.5610899999999999
Ashanti,Ejisu-Juaben Municipal,Global Evangelical Mission Hospital,Hospital,Apromase,CHAG,6.66903,-1.49298
Ashanti,Atwima-Nwabiagya,God is Able Maternity Home,Maternity Home,Sepase,Private,7.0,-2.0
Ashanti,Ejisu-Juaben Municipal,Grace Maternity Home and Clinic,Maternity Home,Akyawkrom,Private,6.73257,-1.46146
Ashanti,Bosome Freho,Gyasikrom Health Centre,Clinic,Gyasikrom,Government,6.40145,-1.4731299999999998
Ashanti,Atwima-Mponua,Gyreso RCH,RCH,Gyeresu,Government,6.47006,-2.41673
Ashanti,Ejura Sekyeredumasi,Homako Community Clinic,Clinic,Homako,Government,7.42915,-1.45106
Ashanti,Ejisu-Juaben Municipal,Humble Maternity Home,Maternity Home,Kokobra,Private,6.71479,-1.52225
Ashanti,Ejisu-Juaben Municipal,Huttel Health Centre,Health Centre,Boamadumase,Private,6.615819999999999,-1.34007
Ashanti,Adansi South,Hwidiem Community Clinic,Clinic,Hwidiem,Government,5.89432,-1.46766
Ashanti,Obuasi Municipal,Ideal Homoepatic Clinic,Clinic,Obuasi - Stadium,Private,6.20564,-1.68425
Ashanti,Sekyere Central,Isaaka Akura Health Centre,Health Centre,Isaaka Akura-Afram  Plains,Private,7.41542,-1.13783
Ashanti,Afigya-Kwabre,Jalua  Maternity Home,Maternity Home,Nkukua Buoho,Private,6.81462,-1.64877
Ashanti,Sekyere South,Jamasi Health Centre,Health Centre,Jamasi,Government,6.977530000000001,-1.47255
Ashanti,Sekyere Central,Jeduako Clinic,Clinic,Jeduako,Government,7.09501,-1.20917
Ashanti,Obuasi Municipal,Jemina Maternity Home,Maternity Home,Obuasi Central,Private,6.203130000000001,-1.6681599999999999
Ashanti,Ejisu-Juaben Municipal,Jesus Is Lord Maternity Home,Maternity Home,Tikrom,Private,6.73865,-1.51092
Ashanti,Kwabre,Joy Maternity Home,Maternity Home,Mamponteng,Private,6.79962,-1.64543
Ashanti,Ejisu-Juaben Municipal,Juaben Government Hospital,District Hospital,Juaben,Government,6.81602,-1.41392
Ashanti,Asante-Akim North Municipal,Juansa Health Centre,Health Centre,Juansa,Government,6.7233600000000004,-1.12734
Ashanti,Asante-Akim South,Juaso District Hospital,District Hospital,Juaso,Government,6.592230000000001,-1.12113
Ashanti,Amansie West,Keniago CHPS,CHPS,Keniago,Government,6.37344,-2.01764
Ashanti,Kwabre,Kenyasi Health Centre,Health Centre,Kenyasi,Government,6.785069999999999,-1.56655
Ashanti,Obuasi Municipal,KofiKrom Clinic,Clinic,Kofi Krom,Private,6.19624,-1.6804299999999999
Ashanti,Mampong Municipal,Kofiase Health Centre,Health Centre,Kofiase,Government,7.14113,-1.48363
Ashanti,Bekwai Municipal,Kokofu General Hospital,Hospital,Kokofu,Government,6.49903,-1.52254
Ashanti,Sekyere South,Kona Health Centre,Health Centre,Kona,Government,6.8677600000000005,-1.51231
Ashanti,Asante-Akim North Municipal,Konongo-Odumasi Government Hospital,District Hospital,Konongo,Government,6.62436,-1.2179200000000001
Ashanti,Mampong Municipal,Krobo Health Centre,Health Centre,Krobo,Government,7.07457,-1.4235200000000001
Ashanti,Sekyere Afram Plains,Kumawu Health Centre,Health Centre,Kumawu,Government,6.9070800000000006,-1.26803
Ashanti,Asante-Akim South,Komeso Health Centre,Health Centre,Kumeso,Government,6.46154,-1.06901
Ashanti,Afigya-Kwabre,Kwamang Health Centre,Health Centre,Kwamang,Government,6.89664,-1.62457
Ashanti,Sekyere Central,Kwamang Health Centre,Health Centre,Kwamang,Government,6.98188,-1.2696100000000001
Ashanti,Atwima-Kwanwoma,Kwanwoma Health Centre,Health Centre,Kwanwoma,Government,6.62865,-1.63524
Ashanti,Ejisu-Juaben Municipal,Kwaso Health Centre,Health Centre,Kwaso,Government,6.62771,-1.4472200000000002
Ashanti,Afigya-Kwabre,Kyekyewere Health Centre,Health Centre,Kyekyewere,Government,7.14538,-1.6394400000000002
Ashanti,Asante-Akim North Municipal,Life Land Clinic,Clinic,Abosomtweagya,Private,6.62067,-1.20373
Ashanti,Atwima-Nwabiagya,Maakro Clinic,Clinic,Maakro,Private,7.0,-2.0
Ashanti,Ahafo-Ano North,Matang Clinic,Clinic,Matang,Private,6.99615,-2.21651
Ashanti,Ejisu-Juaben Municipal,Madoma Maternity Clinic,Clinic,Besease,CHAG,6.72093,-1.45015
Ashanti,Ejisu-Juaben Municipal,Mama Tina Maternity Home,Maternity Home,Kwamo,Private,6.71524,-1.50509
Ashanti,Mampong Municipal,Mampong District Hospital,District Hospital,Mampong,Government,7.04563,-1.40219
Ashanti,Mampong Municipal,Mampong Quality Hospital,Hospital,Mampong,Private,7.04621,-1.40195
Ashanti,Kwabre,Mamponteng Health Centre,Health Centre,Mamponteng,Government,6.83295,-1.47695
Ashanti,Ahafo-Ano North,Manfo Health Centre,Health Centre,Manfo,Government,6.945310000000001,-2.23044
Ashanti,Ahafo-Ano South,Mankranso Hospital,Hospital,Mankranso,Government,6.820760000000001,-1.8627799999999999
Ashanti,Amansie West,Manso Abore Health Centre,Health Centre,Manso Abore,Government,6.446269999999999,-1.97764
Ashanti,Amansie West,Manso Edubia Health Centre,Health Centre,Manso-Adubia,Government,6.40256,-1.92957
Ashanti,Amansie West,Manso Nkwanta Maternity Home,Maternity Home,Manso Nkwanta,Private,6.47682,-1.87916
Ashanti,Amansie West,Manso Tontokrom Health Centre,Health Centre,Tontokrom,Government,6.24929,-1.9948299999999999
Ashanti,Adansi South,Mansonso Health Centre,Health Centre,Mansonso,Government,6.04547,-1.58955
Ashanti,Amansie Central,Marben Maternity,Maternity Home,Jacobu,Private,6.35241,-1.67799
Ashanti,Kwabre,Meduma Clinic,Clinic,Medoma,Private,6.790889999999999,-1.56091
Ashanti,Ejisu-Juaben Municipal,Memorial Maternity Home,Maternity Home,Okyerekrom,Private,6.72122,-1.52589
Ashanti,Afigya-Kwabre,Methodist Faith Healing Hospital,District Hospital,Ankaase,CHAG,6.84819,-1.54934
Ashanti,Amansie Central,Mile 14 Community Clinic,Clinic,Mile 14,Government,6.22126,-1.82139
Ashanti,Asante-Akim South,Morso Clinic,Clinic,Morso,Government,6.6551800000000005,-1.10681
Ashanti,Amansie West,Mother of God Clinic,Clinic,Esaase,CHAG,6.559419999999999,-1.8904599999999998
Ashanti,Ahafo-Ano South,Mpasaso Health Centre,Health Centre,Mpasaso,Government,6.802739999999999,-2.13864
Ashanti,Amansie West,Mpatuom RCH,RCH,Mpatuom,Government,6.5408800000000005,-1.93215
Ashanti,Afigya-Kwabre,Mpobi RCH,RCH,Mpobi,Government,6.84775,-1.56165
Ashanti,Asante-Akim South,Muranaim Health Centre,Health Centre,Muronam,Government,6.2470300000000005,-1.20566
Ashanti,Mampong Municipal,Nadaworoma Clinic,Clinic,Mampong New Town,Private,7.065980000000001,-1.4021299999999999
Ashanti,Atwima-Nwabiagya,Nana Frema Maternity Home,Maternity Home,Adankwame,Private,7.0,-2.0
Ashanti,Bekwai Municipal,Nancy Powel's Clinic,Clinic,Tebeso #2,CHAG,6.317880000000001,-1.3080399999999999
Ashanti,Obuasi Municipal,Neighbourhood    Clinic,Clinic,Abompe    New  Site,Private,6.21889,-1.67117
Ashanti,Adansi North,New Ayaasi Adom Maternity Home,Health Centre,New Ayaasi,Private,6.29641,-1.52338
Ashanti,Adansi South,New Edubiase Hospital,District Hospital,New Edubiase,Government,6.0545599999999995,-1.39281
Ashanti,Bekwai Municipal,New Life Clinic,Clinic,Apau,CHAG,6.47284,-1.43677
Ashanti,Amansie West,Nipankyeremia CHPS,CHPS,Nipankyeremia,Government,6.370019999999999,-2.15827
Ashanti,Atwima-Nwabiagya,Nkawie/Toase Hospital,Hospital,Nkawie,Government,7.0,-2.0
Ashanti,Offinso North,Nkenkasu District Hospital,District Hospital,Nkenkasu,Government,7.31957,-1.9028900000000002
Ashanti,Ejura Sekyeredumasi,Nkwanta Community Clinic,Clinic,Ejura Nkwanta,Government,7.513780000000001,-1.34725
Ashanti,Asante-Akim South,Nnadieso Health Centre,Health Centre,Nnadieso,Government,6.59956,-1.092061
Ashanti,Ejisu-Juaben Municipal,Nobewam SDA Clinic,Clinic,Nobewam,CHAG,6.622889999999999,-1.23985
Ashanti,Sekyere Central,Nsutaman Health Centre,Health Centre,Nsuta,Government,7.008610000000001,-1.3814600000000001
Ashanti,Atwima-Mponua,Ntobroso Health Centre,Health Centre,Ntobroso,Government,6.53571,-2.04245
Ashanti,Amansie Central,Numereso Health Centre,Health Centre,Numereso,Government,6.07568,-1.8545900000000002
Ashanti,Asante-Akim North Municipal,Nutrition Rehabilitation Centre,Clinic,Konongo,Government,6.79529,-1.08871
Ashanti,Atwima-Nwabiagya,Nyama Maternity Home,Maternity Home,Achiase,Private,7.0,-2.0
Ashanti,Amansie West,Nyame Akwan Maternity,Maternity Home,Mpatoum,Private,6.54096,-1.93229
Ashanti,Atwima-Mponua,Nyinahin Government Hospital,District Hospital,Nyinahin,Government,6.60115,-2.1099900000000003
Ashanti,Asante-Akim South,Obogu Health Centre,Health Centre,Obogu,Government,6.51484,-1.11586
Ashanti,Adansi South,Obonsu Clinic,Clinic,Obonsu,Government,5.95324,-1.35225
Ashanti,Obuasi Municipal,Obuasi Government Hospital,Hospital,Obuasi,Government,6.1213,-1.4105
Ashanti,Amansie West,Odaho RCH,RCH,Odaho,Government,6.27381,-1.96832
Ashanti,Offinso Municipal,Offinso Health Centre,Health Centre,Offinso,Government,6.937819999999999,-1.67504
Ashanti,Asante-Akim South,Ofoase Health Centre,Health Centre,Ofoase,Government,6.3781300000000005,-1.26746
Ashanti,Sekyere East,Okaikrom Health Centre,Health Centre,Okaikrom,Government,6.8261199999999995,-1.30866
Ashanti,Sekyere Central,"Catholic Clinic, Oku",Clinic,Oku,CHAG,7.3479600000000005,-1.00318
Ashanti,Afigya-Kwabre,Owusua Maternity Home,Maternity Home,Bronkong,Private,6.7747399999999995,-1.63906
Ashanti,Sekyere Afram Plains,Oyoko Our Lady Maternity Home,Maternity Home,Oyoko,Private,6.86521,-1.38976
Ashanti,Ejisu-Juaben Municipal,Paradyse Clinic,Clinic,Ejisu,Private,6.72105,-1.47262
Ashanti,Sekyere Afram Plains,Peace and Comfort Maternity Clinic,Maternity Home,Kumawu Bodomasi,Private,6.89428,-1.25522
Ashanti,Atwima-Nwabiagya,Peace Homeo Medical Centre,Clinic,Ntensere,Private,7.0,-2.0
Ashanti,Ejisu-Juaben Municipal,Peminase Maternity Home,Maternity Home,Peminase,Government,6.526680000000001,-1.3108600000000001
