Store Number,Store Name,Address,City,Longitude,Latitude
72474-26627,Anaheim Marriott Hotel,700 W. Convention Way Anaheim CA,Anaheim,-117.92,33.8
18476-186804,Ralph's Anaheim Hills #135,"711 S Weir Canyon Rd, Euclid Plaza Anaheim CA",Anaheim,-117.74,33.86
6704-75481,Euclid & Crescent,681 N. Euclid Street Anaheim CA,Anaheim,-117.94,33.84
5564-1277,Katella & State College,2035 E. Katella Ave. Anaheim CA,Anaheim,-117.89,33.8
76918-131629,Target Anaheim T-2421,101 S Euclid Anaheim CA,Anaheim,-117.94,33.83
25203-240104,Downtown Disney West,"1565 S Disneyland Dr, Bldg AA Suite 101A Anaheim CA",Anaheim,-117.92,33.81
11162-103730,Harbor & Ball,1200 S. Harbor Blvd Anaheim CA,Anaheim,-117.91,33.82
17647-184044,Disney California Adventure,1313 S. Harbor Blvd Anaheim CA,Anaheim,-117.92,33.81
75597-77705,Hilton - Anaheim,777 Convention Way Anaheim CA,Anaheim,-117.92,33.8
74622-25767,Vons-Anaheim #2103,5600 E Santa Ana Canyon Rd Anaheim Hills CA,Anaheim Hills,-117.79,33.85
663-336,Imperial & La Palma,5655 E. La Palma Anaheim Hills CA,Anaheim Hills,-117.79,33.86
9633-9372,Santa Ana Canyon & Imperial Hwy,5741 E. Santa Ana Canyon Road Anaheim Hills CA,Anaheim Hills,-117.79,33.85
10129-99307,Weir Canyon & Monte Vista,"8295 E. Monte Vista Road, C Anaheim Hills CA",Anaheim Hills,-117.74,33.86
74962-102356,Safeway - Anderson #273,17539 Vierra Canyon Anderson CA,Anderson,-122.29,40.45
11828-104527,Rhonda & Pleasant Hills - Anderson,"5046 Rhonda Road, A, Frog Jump Plaza Anderson CA",Anderson,-122.29,40.43
6533-64399,Hwy 4 & Hwy 49 - Angels Camp,"27 N. Main Street, A Angels Camp CA",Angels Camp,-120.56,38.08
6755-72663,Elverta & Walerga - Antelope,"4241 Elverta Road, 103, Deer Valley Plaza Antelope CA",Antelope,-121.37,38.71
5345-398,Lone Tree & Deer Valley,"4448 Lone Tree Way, Bluerock Center Antioch CA",Antioch,-121.78,37.97
11985-106649,Lone Tree & Bluerock,"4045 Lone Tree Way, G Antioch CA",Antioch,-121.8,37.98
74693-73700,Safeway-Antioch #1259,"3365 Deer Valley Rd, Slatten Ranch Antioch CA",Antioch,-121.78,37.99
6813-82628,Lone Tree & Slatten Ranch,"5779 Lone Tree Way, G, Eastwood Shopping Center Antioch CA",Antioch,-121.74,37.96
10423-96967,18th & A Street,1896 A Street Antioch CA,Antioch,-121.81,38.0
25600-241073,Antioch Slatten Ranch,5769 Lone Tree Way Antioch CA,Antioch,-121.74,37.96
13993-113968,Somersville & Delta Fair,2504 Somersville Rd. Antioch CA,Antioch,-121.84,38.0
76775-108569,SuperTarget - Apple Valley T-2260,"20288 Hwy 18, Home Depot Plaza Apple Valley CA",Apple Valley,-117.22,34.53
9873-97740,Apple Valley & Bear Valley,"12218 Apple Valley Road, Suite A Apple Valley CA",Apple Valley,-117.24,34.47
76333-95629,Target Apple Valley T-939,19201 Bear Valley Rd Apple Valley CA,Apple Valley,-117.24,34.47
6555-159084,Hwy 18 & Dale Evans Pkwy,"14880 Dale Evans Parkway, #900 Apple Valley CA",Apple Valley,-117.22,34.52
9553-97067,Soquel & Trout Gulch,105 B Post Office Drive Aptos CA,Aptos,-121.9,36.98
74481-73613,Safeway-Aptos #640,16 Rancho Del Mar Aptos CA,Aptos,-121.91,36.98
73672-96295,Albertsons-Arcadia #6561,298 E Live Oak Ave Arcadia CA,Arcadia,-118.02,34.11
5497-1534,300 E. Huntington Dr. - Arcadia,"300 E Huntington Drive, B15, Santa Anita Arcadia CA",Arcadia,-118.02,34.14
28595-249833,Teavana - Santa Anita,"400 S. Baldwin Ave, #2310 ARCADIA CA",ARCADIA,-118.05,34.13
537-481,Arcadia,733 West Naomi Arcadia CA,Arcadia,-118.06,34.12
74522-60799,Vons - Arcadia #3208,745 E Naomi Ave Arcadia CA,Arcadia,-118.07,34.13
22713-201805,Urban Home-Arcadia,400 S Baldwin Ave space S-2 Arcadia CA,Arcadia,-118.05,34.14
6887-243889,Grand Ave & Elm Street,"1211 East Grand Avenue, Suite 101, Five Cities Center Arroyo Grande CA",Arroyo Grande,-120.6,35.12
5689-5179,West Branch & Rancho Parkway,924 West Branch Arroyo Grande CA,Arroyo Grande,-120.6,35.13
2989-93580,"Pioneer & Artesia, Artesia",11809 Artesia Blvd. Artesia CA,Artesia,-118.08,33.87
24310-232264,Laval Road & Wheeler Ridge,"5555 Laval Road, Suite A Arvin CA",Arvin,-118.94,34.99
10130-99744,"El Camino & Santa Cruz, Atascadero","925 El Camino Real, B Atascadero CA",Atascadero,-120.7,35.53
5987-151304,El Camino Real & 41,7029 El Camino Real Atascadero CA,Atascadero,-120.66,35.49
11090-103493,Applegate & Hwy 99 - Atwater,"1640 Bell Lane, Five Corner Crossings Atwater CA",Atwater,-120.62,37.34
11089-102680,Bellevue & Shaffer - Atwater,261 E. Bellevue Road Atwater CA,Atwater,-120.59,37.36
76906-121301,Super Target Atwater ST-2386,1000 Commerce Ave Atwater CA,Atwater,-120.59,37.34
6727-75008,Lincoln & Foresthill - Auburn,13345 Lincoln Way Auburn CA,Auburn,-121.06,38.92
5249-514,Auburn Town Center,392 Elm Avenue Auburn CA,Auburn,-121.07,38.9
27036-241738,Hwy 49 & Willow Creek,"11885 Willow Creek Drive, Unit #7 Auburn CA",Auburn,-121.1,38.94
17889-162245,Target Auburn T-1097,2700 Bell Road Auburn CA,Auburn,-121.09,38.94
11221-103842,Hwy 49 & Combie,"10005 Combie Rd, Rock Creek Plaza Auburn CA",Auburn,-121.09,39.04
6478-61339,Bell & Highway 49 - Auburn,2815 Bell Road Auburn CA,Auburn,-121.1,38.94
20224-203884,Auburn Ravine & I-80,1790 Auburn Ravine Road Auburn CA,Auburn,-121.06,38.92
79629-107175,Safeway - Auburn #3122,2550 Bell Road Auburn CA,Auburn,-121.09,38.94
6447-244769,Citrus & Alosta,890 E. Alosta Avenue Azusa CA,Azusa,-117.89,34.13
28901-250604,Foothill & Todd,"1240 W. Foothill Blvd, Suite A Azusa CA",Azusa,-117.93,34.13
8179-154015,Target Azusa T-2627,809 N Azusa Ave Azusa CA,Azusa,-117.91,34.14
9824-98054,"Foothill & Azusa, Azusa","118 W. Foothill Blvd., The Palms Dining & Shopping Center Azusa CA",Azusa,-117.91,34.13
10098-98998,"Panama & Stine, Bakersfield",4741 Panama Lane Bakersfield CA,Bakersfield,-119.05,35.3
17654-152412,Ming & Ashe,6451 Ming Avenue Bakersfield CA,Bakersfield,-119.07,35.33
79665-114967,Von's - Bakersfield #2033,4500 Coffee Rd Bakersfield CA,Bakersfield,-119.09,35.4
5117-147866,Target Bakersfield West T-2715,11000 Stockdale Hwy Bakersfield CA,Bakersfield,-119.12,35.35
13596-106763,"7th Standard & Hwy 65, Bakersfield",35171 7th Standard Road Bakersfield CA,Bakersfield,-119.08,35.44
74954-98877,Vons-Bakersfield #1969,5700 Stockdale Hwy Bakersfield CA,Bakersfield,-119.07,35.36
9389-95626,"White & Stine, Bakersfield","4701 White Lane, A Bakersfield CA",Bakersfield,-119.05,35.32
48132-261244,Albertsons - Bakersfield #3364,7900 White Lane BAKERSFIELD CA,BAKERSFIELD,-119.09,35.32
29858-255375,Ming & Real,3835 Ming Ave Bakersfield CA,Bakersfield,-119.05,35.34
2998-93150,"Gosford & Pacheco, Bakersfield","5041 Gosford Road, 100 Bakersfield CA",Bakersfield,-119.09,35.31
5462-1336,The Marketplace-Bakersfield,"9000 Ming Avenue, Suite 0-1 Bakersfield CA",Bakersfield,-119.1,35.34
73666-98417,Albertsons-Bakersfield #6377,13045 Rosedale Hwy Bakersfield CA,Bakersfield,-119.15,35.38
8859-93723,Coffee & Stockdale Hwy,8200 Stockdale Highway Bakersfield CA,Bakersfield,-119.09,35.36
10097-99102,"Oswell & Auburn, Bakersfield",2701 Oswell Street Bakersfield CA,Bakersfield,-118.95,35.4
17820-161185,San Joaquin Community Hospital,2615 Chester Ave Bakersfield CA,Bakersfield,-119.02,35.38
24007-160284,California & Easton,"3700 California Avenue, Suite #400 Bakersfield CA",Bakersfield,-119.04,35.37
9258-40559,"Mt Vernon & Hwy 178, Bakersfield",2659 Mt Vernon Avenue Bakersfield CA,Bakersfield,-118.97,35.39
9078-141828,Target Bakersfield Central T-2524,2901 Ming Ave Bakersfield CA,Bakersfield,-119.04,35.34
11438-103513,Rosedale Hwy & Froehlich St,13133 Rosedale Hwy. Bakersfield CA,Bakersfield,-119.15,35.38
10932-102455,Weedpatch Hwy & Hwy 58,"420-A Weedpatch Hwy, Valley Plaza Mall Bakersfield CA",Bakersfield,-118.91,35.35
6695-66241,"Ming & Hwy 99, Bakersfield","2701 Ming Avenue, 102, Valley Plaza Mall Bakersfield CA",Bakersfield,-119.03,35.34
28389-250062,Teavana - Valley Plaza Mall,"2701 Ming Ave., #165 Bakersfield CA",Bakersfield,-119.03,35.34
8620-93722,"Olive & Knudsen, Bakersfield",5210 Olive Drive Bakersfield CA,Bakersfield,-119.06,35.41
27700-248144,Olive & Calloway,"9821 Olive Drive, Suite A Bakersfield CA",Bakersfield,-119.11,35.41
9422-108634,"Hageman & Calloway, Bakersfield","9801 Hageman Road, Northwest Promenade Bakersfield CA",Bakersfield,-119.11,35.4
6436-57479,"Rosedale & Calloway, Bakersfield",9200 Rosedale Hwy Bakersfield CA,Bakersfield,-119.1,35.38
25581-241287,Stockdale Hwy & Calloway Drive,"10610 Stockdale Hwy, Suite 200 Bakersfield CA",Bakersfield,-119.12,35.35
26333-243614,White & Hughes,2500 White Lane Bakersfield CA,Bakersfield,-119.03,35.32
5484-1335,Stockdale Village- Bakersfield,5620-A California Avenue Bakersfield CA,Bakersfield,-119.06,35.36
8711-94269,"Chester & California, Bakersfield",1200 Chester Avenue Bakersfield CA,Bakersfield,-119.02,35.37
74504-27648,Vons - Bakersfield #2420,9000 Ming Ave Bakersfield CA,Bakersfield,-119.1,35.34
15515-141829,Target Bakersfield NW T-1384,9100 Rosedale Hwy Bakersfield CA,Bakersfield,-119.1,35.38
2923-93066,"Panama & Colony, Bakersfield",2200 Panama Lane Bakersfield CA,Bakersfield,-119.03,35.3
6918-85689,"24th & L Street, Bakersfield","1201 24th Street, C100 Bakersfield CA",Bakersfield,-119.02,35.38
29793-255374,Buck Owens & Rosedale Highway,2617 Buck Owens Blvd Bakersfield CA,Bakersfield,-119.04,35.38
5522-1633,Coffee & Hageman - Bakersfield,"4420 Coffee Road, Unit B Bakersfield CA",Bakersfield,-119.09,35.4
25255-186787,Kaiser Permanente @ Baldwin Park,1011 Baldwin Park Blvd. Baldwin Park CA,Baldwin Park,-117.99,34.06
6911-84582,Baldwin Park & Francisquito,3133 Baldwin Park Blvd Baldwin Park CA,Baldwin Park,-117.98,34.07
5880-32099,"Puente & The 10 Fwy, Baldwin Park",14540 Baldwin Park Towne Ctr Dr Baldwin Park CA,Baldwin Park,-117.96,34.07
47131-256288,Target Baldwinpark T-1033,"3100 Baldwin Park Blvd, Gateway Center Baldwin Park CA",Baldwin Park,-117.98,34.07
9326-95961,"Puente & Francisquito, Baldwin Park",1620 Puente Avenue Baldwin Park CA,Baldwin Park,-117.97,34.06
5831-24707,"Ramsey & 22nd Street, Banning",2270 West Ramsey Street Banning CA,Banning,-116.9,33.93
73477-53380,Albertsons-Banning #6512,300 S Highland Springs Ave #7 Banning CA,Banning,-116.95,33.92
8106-95474,Main & I-15,1620 E. Main Street Barstow CA,Barstow,-117.0,34.89
5524-1763,Lenwood Road & Mercantile Way,"2489 Lenwood Blvd., Ste. D Barstow CA",Barstow,-117.08,34.85
10709-101969,Lenwood Road & Factory Outlet Ave,2835 Lenwood Road Barstow CA,Barstow,-117.08,34.85
9387-96406,Oak Valley & Beaumont Ave,"1420 Beaumont Avenue, #A Beaumont CA",Beaumont,-116.98,33.95
13305-106506,2nd Street & Highland Springs,1610 E 2nd Street  Market Place Beaumont CA,Beaumont,-116.95,33.92
6510-56259,"Atlantic & Florence, Bell","7121 Atlantic Blvd., Los Jardines Shopping Center Bell CA",Bell,-118.19,33.97
6787-79160,Eastern & Florence,7000-F Eastern Avenue Bell Gardens CA,Bell Gardens,-118.16,33.97
10626-101189,"Rosecrans & Bellflower, Bellflower",14301 Bellflower Blvd Bellflower CA,Bellflower,-118.13,33.9
9380-96430,Lakewood & Artesia,17254 Lakewood Blvd. Bellflower CA,Bellflower,-118.14,33.87
5570-1024,Ralston & El Camino Belmont,1050-A El Camino Real Belmont CA,Belmont,-122.28,37.52
74149-24410,Safeway-Belmont #1138,1100 El Camino Real Belmont CA,Belmont,-122.28,37.52
538-482,Carlmont Center Belmont,1071 Alameda De Las Pulgas Belmont CA,Belmont,-122.29,37.51
74982-102915,Safeway - Benicia #774,50 Solano Square Benicia CA,Benicia,-122.16,38.05
5463-1320,Benicia,"820 Southampton Drive, Rose Center Benicia CA",Benicia,-122.17,38.07
13396-106462,Rose Dr & Columbus Pkwy - Benicia,"2120 Columbus Parkway, Solano Square Benicia CA",Benicia,-122.19,38.08
13215-73225,1st & Military - Benicia,90 Solano Square Benicia CA,Benicia,-122.15,38.05
5406-945,2224 Shattuck - Berkeley,2224 Shattuck Avenue Berkeley CA,Berkeley,,
570-512,Solano Ave,1799 Solano Avenue Berkeley CA,Berkeley,,
17877-164526,Safeway - Berkeley #691,1444 Shattuck Place Berkeley CA,Berkeley,,
19864-202264,Telegraph & Ashby,3001 Telegraph Avenue Berkeley CA,Berkeley,,
9217-9253,2128 Oxford St.,2128 Oxford Street Berkeley CA,Berkeley,,
505-448,N Beverly & S. Santa Monica Blvd,428 North Beverly Drive Beverly Hills CA,Beverly Hills,-118.4,34.07
671-312,Olympic & Doheny,9049 Olympic Blvd. Beverly Hills CA,Beverly Hills,-118.39,34.06
5257-292,S. Beverly & Charleville,202 South Beverly Drive Beverly Hills CA,Beverly Hills,-118.4,34.06
5401-721,Wilshire & Santa Monica,9811 S. Santa Monica Blvd Beverly Hills CA,Beverly Hills,-118.41,34.07
5758-13907,La Cienega & Gregory Way,257 S. La Cienega Blvd. Beverly Hills CA,Beverly Hills,-118.38,34.06
9420-96443,Big Bear & Christmas Tree Lane,"42140 Big Bear Blvd., #100 Big Bear Lake CA",Big Bear Lake,-116.88,34.25
74617-93362,Vons-Big Bear Lake #2374,42170 Big Bear Blvd Big Bear Lake CA,Big Bear Lake,-116.88,34.25
8946-93587,"Main & Sierra, Bishop",905 North Main Street Bishop CA,Bishop,-118.4,37.37
74350-85081,Safeway-Bishop #1753,1190 N Main St Bishop CA,Bishop,-118.4,37.37
72770-71562,Jensen's Finest Foods-Blue Jay,27264 Highway 189 Blue Jay CA,Blue Jay,-117.21,34.25
73575-80150,Albertsons-Blythe #6587,840 E Hobson Way Blythe CA,Blythe,-114.59,33.61
8824-93269,"Hobsonway & Lovekin, Blythe",745 West Hobsonway BLYTHE CA,BLYTHE,-114.6,33.61
79506-102654,Vons - Bonita #2130,"4404 Bonita Rd, Bonnie Brae Shopping Center Bonita CA",Bonita,-117.03,32.66
6839-74700,"Bonita & Central, Bonita","5030 Bonita Road, #A Bonita CA",Bonita,-117.02,32.67
19897-197064,Hwy 86 & Panno Road,"1050 S. Brawley Avenue, Suite 101 Brawley CA",Brawley,-115.55,32.96
79655-114964,Von's - Brawley #1767,475 W Main St Brawley CA,Brawley,-115.55,32.98
5089-142346,Target Brea T-2482,855 Birch St Brea CA,Brea,-117.89,33.92
572-6948,Brea & Imperial,101 West Imperial Highway Brea CA,Brea,-117.9,33.92
22000-210111,Brea Mall Floor 1,"1065 Brea Mall Way, K127 - Brea Mall, Brea Mall Brea CA",Brea,-117.89,33.92
28623-249947,Teavana - Brea Mall,"1065 Brea Mall, #2103A Brea CA",Brea,-117.88,33.91
70016-113824,Macy's-Brea,300 Brea Mall Brea CA,Brea,-117.88,33.92
73542-77320,Albertsons-Brea #6141,2500 E Imperial Hwy #158 Brea CA,Brea,-117.87,33.91
5248-434,South Associated Rd & E. Imperial,435 South Associated Road Brea CA,Brea,-117.88,33.91
2928-90000,Valencia & Imperial,"525 Valencia Avenue, 101 Brea CA",Brea,-117.85,33.91
5682-4411,Brea & Birch,"260 West Birch Street, #D Brea CA",Brea,-117.9,33.92
22172-218607,Sand Creek & Hwy 4,"2375 Sand Creek Road, 100 Brentwood CA",Brentwood,-121.74,37.94
74454-82476,Safeway-Brentwood #2621,3110 Balfour Road Brentwood CA,Brentwood,-121.72,37.92
5296-888,San Vicente & 26th,"13050 San Vicente Blvd., Suite #111 Brentwood CA",Brentwood,-118.49,34.05
5944-34480,Hwy 4 & Balfour,"8610 Brentwood Blvd., 1 Brentwood CA",Brentwood,-121.69,37.93
22437-198824,Hwy 246 & McMurray,"235 East Highway 246, Suite 102, Buena Park Promenade Buellton CA",Buellton,-120.19,34.61
10099-15915,Lincoln & Valley View,5897 Lincoln Ave. Buena Park CA,Buena Park,-118.03,33.83
5520-1550,Beach Blvd & El Capitan Way,7711 Beach Blvd. Buena Park CA,Buena Park,-118.0,33.85
6988-85342,La Palma & Dale,8231 La Palma Avenue Buena Park CA,Buena Park,-117.99,33.85
76432-96780,Target Buena Park T-2082,7530 Orangethorpe Ave Buena Park CA,Buena Park,-118.0,33.86
17844-174044,Orangethorpe & Centerpointe,5970 Orangethorpe Avenue Buena Park CA,Buena Park,-118.03,33.86
28250-244004,Knott's Berry Farm,8039 Beach Blvd. Buena Park CA,Buena Park,-118.0,33.85
10432-100674,Valley View & La Palma,7876 Valley View Street Buena Park CA,Buena Park,-118.03,33.85
569-511,Alameda & Shelton,"1190 Alameda Avenue, Suite G-2 Burbank CA",Burbank,-118.31,34.16
19692-201264,Verdugo & Olive,"1520 West Olive Avenue, The Gateway of Burbank Burbank CA",Burbank,-118.32,34.17
5708-8027,Alameda & San Fernando,113 East Alameda Ave Burbank CA,Burbank,-118.3,34.17
26998-245235,Ralphs Burbank #648,2600 West Victory Blvd. Burbank CA,Burbank,-118.34,34.18
23120-223787,Bon Appetit @ Disney Channel Buildi,3800 W Alameda Ave Burbank CA,Burbank,-118.34,34.15
47400-253893,Providence Saint Joseph Burbank,501 S. Buena Vista St. Burbank CA,Burbank,-118.33,34.16
75753-95299,Warner Bros Studio Plaza Lobby,"3400 Riverside Drive, Burbank Airport Star Park Facility Burbank CA",Burbank,-118.34,34.15
10801-101907,Hollywood Way & Airport Access,2555 North Hollywood Way Burbank CA,Burbank,-118.35,34.2
75545-66180,Warner Brothers Studio,4000 Warner Blvd Burbank CA,Burbank,-118.34,34.15
27925-248184,Disney Riverside,2300 W Riverside Dr Burbank CA,Burbank,-118.32,34.15
10802-102285,"Glenoaks & Keeler, Burbank",2130 N Glenoaks Blvd Burbank CA,Burbank,-118.33,34.2
74836-98349,Vons-Burbank #3083,301 N Pass Ave Burbank CA,Burbank,-118.35,34.16
5211-513,Alameda & Evergreen,"4207 Riverside Drive, Burbank Empire Center Burbank CA",Burbank,-118.35,34.15
5870-27267,Victory & Empire,1711 North Victory Place Burbank CA,Burbank,-118.33,34.19
15581-142093,Target Burbank T-1362,1800 W Empire Ave Burbank CA,Burbank,-118.33,34.19
607-322,Downtown Burbank,300 N. San Fernando Blvd Burbank CA,Burbank,-118.31,34.18
74660-25867,Vons-Burbank #2214,1110 Alameda Ave. Burbank CA,Burbank,-118.31,34.16
5654-2705,Oak Street & Pass Avenue,347 N Pass Ave Burbank CA,Burbank,-118.35,34.16
9746-95803,"San Fernando & Walnut, Burbank","1001 North San Fernando Blvd., 120 Burbank CA",Burbank,-118.32,34.19
78028-85286,Marriott San Francisco Airport,1800 Old Bayshore Hwy Burlingame CA,Burlingame,-122.37,37.6
16157-157484,Safeway-Burlingame #1547,1450  Howard Ave Burlingame CA,Burlingame,-122.35,37.58
8910-85341,Murchison & El Camino,1865 El Camino Real Burlingame CA,Burlingame,-122.39,37.6
523-467,Burlingame Ave.,1160 Burlingame Avenue Burlingame CA,Burlingame,-122.35,37.58
6871-85343,Broadway & Laguna - Burlingame,1230 Broadway Burlingame CA,Burlingame,-122.37,37.59
6904-86322,"I-5 & Hwy 58, Buttonwillow","20673 Tracy Avenue, 101 Buttonwillow CA",Buttonwillow,-119.4,35.4
6653-63044,Hwy 4 & Bixler - Discovery Bay,"14804 Hwy 4, Space 1-B Byron CA",Byron,-121.62,37.89
27292-245705,Seminole & Morongo Trail,49076 Seminole Drive Cabazon CA,Cabazon,-116.8,33.92
23692-214907,Desert Hills Premium - West Village,"48400 Seminole Drive, K102, Cabazon Company Stores Cabazon CA",Cabazon,-116.82,33.93
5904-30940,"Hwy 10 & Fields Rd., Cabazon","48750 Seminole Dr, #105 Cabazon CA",Cabazon,-116.81,33.93
5636-425,Calabasas Rd & Park Granada,"4776 Commons Way, Suite F Calabasas CA",Calabasas,-118.64,34.16
73529-53299,Albertsons-Calabasas #6335,"26521 Agoura Road, Creekside Village Shopping Center Calabasas CA",Calabasas,-118.7,34.14
5858-27587,"Agoura & Las Virgenes, Calabasas",26531 Agoura Road Calabasas CA,Calabasas,-118.7,34.14
8748-94753,"Hwy 111 & Hwy 98, Calexico","1113 Imperial West, Suite 101 Calexico CA",Calexico,-115.5,32.68
27830-248525,Calimesa & Myrtlewood,1166 Calimesa Blvd Calimesa CA,Calimesa,-117.06,34.0
621-344,Las Posas & Ponderosa,"540 Las Posas Road, Mission Oaks Place Camarillo CA",Camarillo,-119.07,34.22
9592-97504,"Verdugo & Camino Ruiz, Camarillo",5011 Verdugo Way Camarillo CA,Camarillo,-119.0,34.22
76356-97155,Target Camarillo T-1027,209 W Ventura Blvd Camarillo CA,Camarillo,-119.07,34.22
74739-98380,Vons-Camarillo #1672,820 Arnell Rd Camarillo CA,Camarillo,-119.04,34.23
22276-217904,Camarillo Premium Outlets,"740 East Ventura Blvd, KI01-1 Camarillo CA",Camarillo,-119.06,34.22
74821-98382,Vons-Camarillo #2094,5275 Mission Oaks Blvd Camarillo CA,Camarillo,-119.0,34.23
6670-187764,Arneill & Las Posas,"2306 E Las Posas Rd, Ste A, Green Valley Station Camarillo CA",Camarillo,-119.04,34.24
13780-107526,Green Valley & Cambridge,"3004 Green Valley Road, Sam Town Marketplace Cameron Park CA",Cameron Park,-121.0,38.7
6929-72692,Coach & Strolling Hills,"3317 Coach Lane, 500 Cameron Park CA",Cameron Park,-120.97,38.66
74946-102361,Safeway - Cameron Park #1618,3380 Coach Lane Cameron Park CA,Cameron Park,-120.97,38.66
5746-10935,267 E. Campbell Ave.,267 E. Campbell Avenue Campbell CA,Campbell,-121.95,37.29
6931-85346,Camden & Curtner - Campbell,1228 Camden Avenue Campbell CA,Campbell,-121.95,37.27
11440-104416,Hamilton & Central - Campbell,330 East Hamilton Ave Campbell CA,Campbell,-121.94,37.29
74803-73704,Safeway - Campbell #1293,"2341 Winchester Blvd, Hamilton Plaza Campbell CA",Campbell,-121.95,37.28
534-479,Hamilton Plaza,1696 S Bascom Avenue Campbell CA,Campbell,-121.93,37.29
8913-95545,Campbell & Fulton,"1820 W Campbell Ave, Ste. B Campbell CA",Campbell,-121.98,37.29
15002-153027,Safeway-Campbell #3241,950 W Hamilton Ave Campbell CA,Campbell,-121.97,37.29
79745-108473,Vons - Canoga Park #1673,8201 TOPANGA CANYON BLVD CANOGA PARK CA,CANOGA PARK,-118.61,34.22
6473-25947,Canoga & Sherman Way,"7258 Canoga Ave., Topanga Plaza Canoga Park CA",Canoga Park,-118.6,34.2
28523-249858,Teavana - Topanga Plaza,"6600 Topanga Cayon Blvd., #99D Canoga Park CA",Canoga Park,-118.61,34.19
